排名,电影名称,导演,主演,电影类型,国家,上映年份,片长,评分,评论人数,全球票房
28,终结者2：审判日,James Cameron,Arnold Schwarzenegger / Linda Hamilton / Edward Furlong,动作/冒险/科幻,美国/法国,1991,2小时 17分钟,8.6,1200000 ,"$517,778,573 "
29,星球大战,George Lucas,Mark Hamill / Harrison Ford / Carrie Fisher,动作/冒险/奇幻,美国,1977,2小时 1分钟,8.6,1500000 ,"$775,398,507 "
30,回到未来,Robert Zemeckis,Michael J. Fox / Christopher Lloyd / Lea Thompson,冒险/喜剧/科幻,美国,1985,1小时 56分钟,8.5,1400000 ,"$385,053,307 "
31,千与千寻,Hayao Miyazaki,Daveigh Chase / Suzanne Pleshette / Miyu Irino,动画/冒险/家庭,日本/美国,2001,2小时 4分钟,8.6,919000 ,"$359,592,415 "
32,钢琴家,Roman Polanski,Adrien Brody / Thomas Kretschmann / Frank Finlay,传记/剧情/音乐,法国/波兰/德国/英国/美国,2002,2小时 30分钟,8.5,975000 ,"$120,098,945 "
33,角斗士,Ridley Scott,Russell Crowe / Joaquin Phoenix / Connie Nielsen,动作/冒险/剧情,美国/英国/马耳他/摩洛哥,2000,2小时 35分钟,8.5,1800000 ,"$465,516,248 "
34,寄生虫,Bong Joon Ho,Song Kang-ho / Lee Sun-kyun / Cho Yeo-jeong,剧情/惊悚,韩国,2019,2小时 12分钟,8.5,1100000 ,"$262,616,458 "
35,惊魂记,Alfred Hitchcock,Anthony Perkins / Janet Leigh / Vera Miles,剧情/恐怖/悬疑,美国,1960,1小时 49分钟,8.5,757000 ,"$32,253,563 "
36,狮子王,Roger Allers,Matthew Broderick / Jeremy Irons / James Earl Jones,动画/冒险/剧情,美国,1994,1小时 28分钟,8.5,1200000 ,"$979,161,373 "
37,萤火虫之墓,Isao Takahata,Tsutomu Tatsumi / Ayano Shiraishi / Akemi Yamaguchi,动画/剧情/战争,日本,1988,1小时 28分钟,8.5,355000 ,"$842,132 "
38,无间道风云,Martin Scorsese,Leonardo DiCaprio / Matt Damon / Jack Nicholson,犯罪/剧情/惊悚,美国/中国香港,2006,2小时 31分钟,8.5,1500000 ,"$291,481,358 "
39,爆裂鼓手,Damien Chazelle,Miles Teller / J.K. Simmons / Melissa Benoist,剧情/音乐,美国,2014,1小时 46分钟,8.5,1100000 ,"$50,360,880 "
