电影名称,导演,主演,电影类型,国家,上映年份,片长,评分,评论人数,全球票房
Monty Python and the Holy Grail,Terry Gilliam,Graham Chapman / John Cleese / Eric Idle,Adventure/Comedy/Fantasy,United Kingdom,1975,1h 31m,8.2,591K,"$2,931,902"
The Elephant Man,David Lynch,Anthony Hopkins / John Hurt / Anne Bancroft,Biography/Drama,United States/United Kingdom,1980,2h 4m,8.2,275K,"$26,034,325"
Dial M for Murder,Alfred Hitchcock,Ray Milland / Grace Kelly / Robert Cummings,Crime/Drama/Mystery,United States,1954,1h 45m,8.2,199K,"$45,313"
Klaus,Sergio Pablos,Jason Schwartzman / J.K. Simmons / Rashida Jones,Animation/Adventure/Comedy,Spain/United Kingdom/United States/Austria/Canada/France,2019,1h 36m,8.2,217K,N/A
Gone with the Wind,Victor Fleming,Clark Gable / Vivien Leigh / Thomas Mitchell,Drama/Romance/War,United States,1939,3h 58m,8.2,348K,"$402,382,193"
Chinatown,Roman Polanski,Jack Nicholson / Faye Dunaway / John Huston,Drama/Mystery/Thriller,United States,1974,2h 10m,8.1,367K,"$29,232,347"
El secreto de sus ojos,Juan José Campanella,Ricardo Darín / Soledad Villamil / Pablo Rago,Drama/Mystery/Romance,Argentina/Spain,2009,2h 9m,8.2,234K,"$35,079,650"
"Lock, Stock and Two Smoking Barrels",Guy Ritchie,Jason Flemyng / Dexter Fletcher / Nick Moran,Comedy/Crime,United Kingdom/United States,1998,1h 47m,8.1,638K,"$3,753,929"
Rashômon,Akira Kurosawa,Toshirô Mifune / Machiko Kyô / Masayuki Mori,Crime/Drama/Mystery,Japan,1950,1h 28m,8.2,191K,"$139,819"
V for Vendetta,James McTeigue,Hugo Weaving / Natalie Portman / Rupert Graves,Action/Drama/Sci-Fi,United States/United Kingdom/Germany,2005,2h 12m,8.1,1.2M,"$134,686,457"
Inside Out,Pete Docter,Amy Poehler / Bill Hader / Lewis Black,Animation/Adventure/Comedy,United States,2015,1h 35m,8.1,875K,"$859,076,254"
"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,Frances McDormand / Woody Harrelson / Sam Rockwell,Comedy/Crime/Drama,United Kingdom/United States,2017,1h 55m,8.1,587K,"$162,729,321"
Catch Me If You Can,Steven Spielberg,Leonardo DiCaprio / Tom Hanks / Christopher Walken,Biography/Crime/Drama,United States/Canada,2002,2h 21m,8.1,1.2M,"$352,114,312"
Trainspotting,Danny Boyle,Ewan McGregor / Ewen Bremner / Jonny Lee Miller,Crime/Drama,United Kingdom/United States,1996,1h 33m,8.1,753K,"$16,992,984"
The Bridge on the River Kwai,David Lean,William Holden / Alec Guinness / Jack Hawkins,Adventure/Drama/War,United Kingdom/United States,1957,2h 41m,8.1,243K,"$27,201,366"
Raging Bull,Martin Scorsese,Robert De Niro / Cathy Moriarty / Joe Pesci,Biography/Drama/Sport,United States,1980,2h 9m,8.1,398K,"$23,406,017"
The Wild Robot,Chris Sanders,Lupita Nyong'o / Pedro Pascal / Kit Connor,Animation/Adventure/Family,United States/Japan,2024,1h 42m,8.2,186K,"$334,537,187"
Fargo,Joel Coen,William H. Macy / Frances McDormand / Steve Buscemi,Crime/Drama/Thriller,United Kingdom/United States,1996,1h 38m,8.1,761K,"$60,611,975"
Harry Potter and the Deathly Hallows: Part 2,David Yates,Daniel Radcliffe / Emma Watson / Rupert Grint,Adventure/Family/Fantasy,United Kingdom/United States,2011,2h 10m,8.1,1M,"$1,342,505,340"
Warrior,Gavin O'Connor,Tom Hardy / Nick Nolte / Joel Edgerton,Action/Drama/Sport,United States,2011,2h 20m,8.1,517K,"$23,308,615"
Gran Torino,Clint Eastwood,Clint Eastwood / Bee Vang / Christopher Carley,Drama,Germany/United States,2008,1h 56m,8.1,843K,"$269,958,228"
Million Dollar Baby,Clint Eastwood,Hilary Swank / Clint Eastwood / Morgan Freeman,Drama/Sport,United States,2004,2h 12m,8.1,750K,"$216,763,646"
Ben-Hur,William Wyler,Charlton Heston / Jack Hawkins / Stephen Boyd,Adventure/Drama,United States,1959,3h 32m,8.1,265K,"$74,439,376"
Mad Max: Fury Road,George Miller,Tom Hardy / Charlize Theron / Nicholas Hoult,Action/Adventure/Sci-Fi,Australia/United States,2015,2h,8.1,1.2M,"$380,437,267"
